stream_index,source_ip,dest_ip,pkt_count,tcp_src_port,tcp_dest_port,tls_version,tls_cert_length,tls_issuer,tls_algorithm_id,tls_handshake_ciphersuite,tls_handshake_extensions_length,tls_handshake_server_curve_type,tls_handshake_server_named_curve,tls_handshake_echde_server_pubkey_len,tls_handshake_echde_client_pubkey_len,tls_server_name,tls_ja3_hash,tls_cipher_suite_length
0,94.140.114.216,192.168.64.11,7,9002,33524,,,,,,,,,,,,,
1,192.168.64.11,142.250.179.227,6,37078,443,0x0304,,,,0x1301,46,,,,,fonts.gstatic.com,cd08e31494f9531f560d64c695473da9,
2,192.168.64.11,142.250.200.46,14,35986,443,0x0304,,,,0x1301,46,,,,,consent.google.com,cd08e31494f9531f560d64c695473da9,
3,192.168.64.11,140.82.121.4,19,51448,443,0x0304,,,,0x1301,46,,,,,github.com,cd08e31494f9531f560d64c695473da9,
4,192.168.64.11,140.82.121.4,6,51450,443,0x0304,,,,0x1301,46,,,,,github.com,cd08e31494f9531f560d64c695473da9,
5,192.168.64.11,185.199.109.154,23,60768,443,0x0304,,,,0x1301,46,,,,,github.githubassets.com,cd08e31494f9531f560d64c695473da9,
8,192.168.64.11,185.199.109.154,5,60774,443,0x0304,,,,0x1301,46,,,,,github.githubassets.com,cd08e31494f9531f560d64c695473da9,
9,192.168.64.11,185.199.109.154,6,60776,443,0x0304,,,,0x1301,46,,,,,github.githubassets.com,cd08e31494f9531f560d64c695473da9,
6,192.168.64.11,185.199.109.154,6,60770,443,0x0304,,,,0x1301,46,,,,,github.githubassets.com,cd08e31494f9531f560d64c695473da9,
11,192.168.64.11,185.199.109.133,9,52874,443,0x0304,,,,0x1301,46,,,,,avatars.githubusercontent.com,cd08e31494f9531f560d64c695473da9,
7,192.168.64.11,185.199.109.154,6,60772,443,0x0304,,,,0x1301,46,,,,,github.githubassets.com,cd08e31494f9531f560d64c695473da9,
10,192.168.64.11,185.199.109.154,6,60778,443,0x0304,,,,0x1301,46,,,,,github.githubassets.com,cd08e31494f9531f560d64c695473da9,
12,192.168.64.11,185.199.109.154,17,60782,443,0x0304,,,,0x1301,46,,,,,github.githubassets.com,cd08e31494f9531f560d64c695473da9,
13,192.168.64.11,140.82.114.22,9,46628,443,0x0304,,,,0x1301,46,,,,,collector.github.com,cd08e31494f9531f560d64c695473da9,
