stream_index,source_ip,dest_ip,pkt_count,tcp_src_port,tcp_dest_port,tls_version,tls_max_client_tls_version,tls_cipher_suites_length,tls_is_heartbeat_present,tls_is_record_limit_extension_present,tls_sig_hash_alg_length,tls_cert_length,tls_cert_size,tls_issuer,tls_algorithm_id,tls_handshake_ciphersuite,tls_handshake_extensions_length,tls_handshake_server_curve_type,tls_handshake_server_named_curve,tls_handshake_echde_server_pubkey_len,tls_handshake_echde_client_pubkey_len,tls_server_name,tls_ja3_hash,tls_supported_group_length
5,192.168.64.11,77.246.159.165,11,59224,443,,,,,,,,,,,,,,,,,,,
9,192.168.64.11,54.239.28.85,7,37090,443,0x0303,0x304,17.0,False,False,4.0,3,4672,*.peg.a2z.com,1.2.840.113549.1.1.11,0xc02f,21,0x03,0x0017,65,65,amazon.com,579ccef312d18482fc42e2b822ca2430,6.0
10,192.168.64.11,216.137.46.199,40,49874,443,0x0304,0x304,17.0,False,False,4.0,,,,,0x1301,46,,,,,www.amazon.com,579ccef312d18482fc42e2b822ca2430,6.0
11,94.140.114.216,192.168.64.11,10,9002,44532,,,,,,,,,,,,,,,,,,,
13,192.168.64.11,199.232.57.16,234,57706,443,0x0304,0x304,17.0,False,False,4.0,,,,,0x1301,46,,,,,images-na.ssl-images-amazon.com,579ccef312d18482fc42e2b822ca2430,6.0
12,192.168.64.11,199.232.57.16,9,57704,443,0x0304,0x304,17.0,False,False,4.0,,,,,0x1301,46,,,,,images-na.ssl-images-amazon.com,579ccef312d18482fc42e2b822ca2430,6.0
15,192.168.64.11,199.232.57.16,9,57710,443,0x0304,0x304,17.0,False,False,4.0,,,,,0x1301,46,,,,,images-na.ssl-images-amazon.com,579ccef312d18482fc42e2b822ca2430,6.0
14,192.168.64.11,199.232.57.16,9,57708,443,0x0304,0x304,17.0,False,False,4.0,,,,,0x1301,46,,,,,images-na.ssl-images-amazon.com,579ccef312d18482fc42e2b822ca2430,6.0
17,192.168.64.11,199.232.57.16,9,57714,443,0x0304,0x304,17.0,False,False,4.0,,,,,0x1301,46,,,,,m.media-amazon.com,579ccef312d18482fc42e2b822ca2430,6.0
20,192.168.64.11,199.232.57.16,8,57720,443,0x0304,0x304,17.0,False,False,4.0,,,,,0x1301,46,,,,,m.media-amazon.com,579ccef312d18482fc42e2b822ca2430,6.0
21,192.168.64.11,199.232.57.16,9,57722,443,0x0304,0x304,17.0,False,False,4.0,,,,,0x1301,46,,,,,m.media-amazon.com,579ccef312d18482fc42e2b822ca2430,6.0
22,192.168.64.11,199.232.57.16,9,57724,443,0x0304,0x304,17.0,False,False,4.0,,,,,0x1301,46,,,,,m.media-amazon.com,579ccef312d18482fc42e2b822ca2430,6.0
23,192.168.64.11,199.232.57.16,9,57726,443,0x0304,0x304,17.0,False,False,4.0,,,,,0x1301,46,,,,,m.media-amazon.com,579ccef312d18482fc42e2b822ca2430,6.0
24,192.168.64.11,199.232.57.16,9,57728,443,0x0304,0x304,17.0,False,False,4.0,,,,,0x1301,46,,,,,m.media-amazon.com,579ccef312d18482fc42e2b822ca2430,6.0
16,192.168.64.11,34.194.172.103,90,53606,443,0x0303,0x304,17.0,False,False,4.0,4,4995,,1.2.840.113549.1.1.11,0xc02f,26,0x03,0x0017,65,65,fls-na.amazon.com,579ccef312d18482fc42e2b822ca2430,6.0
25,192.168.64.11,142.250.187.234,13,42142,443,0x0304,0x304,17.0,False,False,4.0,,,,,0x1301,52,,,,,safebrowsing.googleapis.com,02aa4679df284f240695da144b70c288,6.0
27,192.168.64.11,52.94.243.89,7,60976,443,0x0303,0x304,17.0,False,False,4.0,4,4988,,1.2.840.113549.1.1.11,0xc02f,21,0x03,0x0017,65,65,assoc-na.associates-amazon.com,579ccef312d18482fc42e2b822ca2430,6.0
34,192.168.64.11,142.250.187.234,12,42150,443,0x0304,0x304,17.0,False,False,4.0,,,,,0x1301,52,,,,,safebrowsing.googleapis.com,02aa4679df284f240695da144b70c288,6.0
32,192.168.64.11,52.46.151.131,32,43230,443,0x0303,0x304,17.0,False,False,4.0,4,5002,,1.2.840.113549.1.1.11,0xc02f,21,,,,65,s.amazon-adsystem.com,579ccef312d18482fc42e2b822ca2430,6.0
33,192.168.64.11,52.46.154.73,8,43892,443,0x0303,0x304,17.0,False,False,4.0,4,5015,,1.2.840.113549.1.1.11,0xc02f,21,,,,65,completion.amazon.com,579ccef312d18482fc42e2b822ca2430,6.0
40,192.168.64.11,142.250.187.234,13,42154,443,0x0304,0x304,17.0,False,False,4.0,,,,,0x1301,52,,,,,safebrowsing.googleapis.com,02aa4679df284f240695da144b70c288,6.0
37,192.168.64.11,209.54.180.63,10,33470,443,0x0303,0x304,17.0,False,False,4.0,4,5139,,1.2.840.113549.1.1.11,0xc02f,21,0x03,0x0017,65,65,unagi-na.amazon.com,579ccef312d18482fc42e2b822ca2430,6.0
41,192.168.64.11,3.67.144.96,10,45022,443,0x0303,0x304,17.0,False,False,4.0,4,5120,*.myvisualiq.net,1.2.840.113549.1.1.11,0xc02f,13,,,,65,t.myvisualiq.net,579ccef312d18482fc42e2b822ca2430,6.0
42,192.168.64.11,104.22.25.87,7,33998,443,0x0304,0x304,17.0,False,False,4.0,,,,,0x1301,46,,,,,mwzeom.zeotap.com,579ccef312d18482fc42e2b822ca2430,6.0
