stream_index,source_ip,dest_ip,pkt_count,tcp_src_port,tcp_dest_port,tls_version,tls_max_client_tls_version,tls_server_name,tls_cipher_suites_length,tls_is_heartbeat_present,tls_is_record_limit_extension_present,tls_supported_group_length,tls_key_share_length,tls_selected_group,tls_handshake_ciphersuite,tls_key_share_group,tls_ec_points_format_length,tls_sig_hash_alg_length,tls_cert_length,tls_cert_size,tls_cert_begin,tls_cert_end,tls_handshake_extensions_length,tls_ja3_hash
1,192.168.64.11,142.250.187.228,9,38770,443,0x0303,0x303,www.google.com,14.0,False,True,4.0,,,0xc02b,,1,11.0,3,3987,2022-06-27 08:25:01 (UTC),2022-09-19 08:25:00 (UTC),28,fb0aa01abe9d8e4037eb3473ca6e2dca
3,192.168.64.11,108.138.232.42,89,45020,443,0x0303,0x303,www.amazon.co.uk,14.0,False,True,4.0,,,0xc02f,,1,11.0,3,4218,2022-01-24 00:00:00 (UTC),2023-01-13 23:59:59 (UTC),32,fb0aa01abe9d8e4037eb3473ca6e2dca
4,192.168.64.11,34.120.208.123,13,40570,443,,,,,,,,,,,,,,,,,,,
5,192.168.64.11,34.252.206.138,59,42318,443,0x0303,0x303,fls-eu.amazon.co.uk,14.0,False,True,4.0,,,0xc02f,,1,11.0,4,5182,2022-04-20 00:00:00 (UTC),2023-04-11 23:59:59 (UTC),26,fb0aa01abe9d8e4037eb3473ca6e2dca
6,192.168.64.11,199.232.141.16,45,46968,443,0x0303,0x303,m.media-amazon.com,14.0,False,True,4.0,,,0xc02f,,1,11.0,3,4325,2022-06-15 00:00:00 (UTC),2023-06-14 23:59:59 (UTC),38,fb0aa01abe9d8e4037eb3473ca6e2dca
7,192.168.64.11,199.232.141.16,244,46970,443,0x0303,0x303,images-eu.ssl-images-amazon.com,14.0,False,True,4.0,,,0xc02f,,1,11.0,3,4325,2022-06-15 00:00:00 (UTC),2023-06-14 23:59:59 (UTC),38,fb0aa01abe9d8e4037eb3473ca6e2dca
8,192.168.64.11,199.232.141.16,4,46972,443,0x0303,0x303,m.media-amazon.com,14.0,False,True,4.0,,,0xc02f,,1,11.0,3,4325,2022-06-15 00:00:00 (UTC),2023-06-14 23:59:59 (UTC),38,fb0aa01abe9d8e4037eb3473ca6e2dca
9,192.168.64.11,199.232.141.16,10,46974,443,0x0303,0x303,images-eu.ssl-images-amazon.com,14.0,False,True,4.0,,,0xc02f,,1,11.0,3,4325,2022-06-15 00:00:00 (UTC),2023-06-14 23:59:59 (UTC),38,fb0aa01abe9d8e4037eb3473ca6e2dca
12,192.168.64.11,199.232.141.16,10,46980,443,0x0303,0x303,images-eu.ssl-images-amazon.com,14.0,False,True,4.0,,,0xc02f,,1,11.0,3,4325,2022-06-15 00:00:00 (UTC),2023-06-14 23:59:59 (UTC),38,fb0aa01abe9d8e4037eb3473ca6e2dca
14,192.168.64.11,199.232.141.16,9,46984,443,0x0303,0x303,m.media-amazon.com,14.0,False,True,4.0,,,0xc02f,,1,11.0,3,4325,2022-06-15 00:00:00 (UTC),2023-06-14 23:59:59 (UTC),38,fb0aa01abe9d8e4037eb3473ca6e2dca
15,192.168.64.11,199.232.141.16,10,46986,443,0x0303,0x303,images-eu.ssl-images-amazon.com,14.0,False,True,4.0,,,0xc02f,,1,11.0,3,4325,2022-06-15 00:00:00 (UTC),2023-06-14 23:59:59 (UTC),38,fb0aa01abe9d8e4037eb3473ca6e2dca
16,192.168.64.11,199.232.141.16,9,46988,443,0x0303,0x303,images-eu.ssl-images-amazon.com,14.0,False,True,4.0,,,0xc02f,,1,11.0,3,4325,2022-06-15 00:00:00 (UTC),2023-06-14 23:59:59 (UTC),38,fb0aa01abe9d8e4037eb3473ca6e2dca
21,192.168.64.11,199.232.141.16,10,46998,443,0x0303,0x303,m.media-amazon.com,14.0,False,True,4.0,,,0xc02f,,1,11.0,3,4325,2022-06-15 00:00:00 (UTC),2023-06-14 23:59:59 (UTC),38,fb0aa01abe9d8e4037eb3473ca6e2dca
22,192.168.64.11,199.232.141.16,10,47000,443,0x0303,0x303,images-eu.ssl-images-amazon.com,14.0,False,True,4.0,,,0xc02f,,1,11.0,3,4325,2022-06-15 00:00:00 (UTC),2023-06-14 23:59:59 (UTC),38,fb0aa01abe9d8e4037eb3473ca6e2dca
23,192.168.64.11,142.250.187.234,17,37662,443,0x0303,0x303,safebrowsing.googleapis.com,14.0,False,True,4.0,,,0xc02b,,1,11.0,3,4383,2022-06-27 08:23:58 (UTC),2022-09-19 08:23:57 (UTC),28,fb0aa01abe9d8e4037eb3473ca6e2dca
26,192.168.64.11,142.250.187.234,14,37668,443,0x0303,0x303,safebrowsing.googleapis.com,14.0,False,True,4.0,,,0xc02b,,1,11.0,,,,,24,fbcc1d86f1211d29dca4858f89e44997
27,192.168.64.11,142.250.187.234,14,37670,443,0x0303,0x303,safebrowsing.googleapis.com,14.0,False,True,4.0,,,0xc02b,,1,11.0,,,,,24,fbcc1d86f1211d29dca4858f89e44997
28,192.168.64.11,52.95.114.193,7,55524,443,0x0303,0x303,completion.amazon.co.uk,14.0,False,True,4.0,,,0xc02f,,1,11.0,4,5245,2022-05-09 00:00:00 (UTC),2023-05-04 23:59:59 (UTC),21,fb0aa01abe9d8e4037eb3473ca6e2dca
29,192.168.64.11,52.95.121.195,13,47848,443,0x0303,0x303,aax-eu.amazon.co.uk,14.0,False,True,4.0,,,0xc02f,,1,11.0,4,5188,2021-11-17 00:00:00 (UTC),2022-11-16 23:59:59 (UTC),21,fb0aa01abe9d8e4037eb3473ca6e2dca
30,192.168.64.11,52.95.121.195,14,47850,443,0x0303,0x303,aax-eu.amazon.co.uk,14.0,False,True,4.0,,,0xc02f,,1,11.0,4,5188,2021-11-17 00:00:00 (UTC),2022-11-16 23:59:59 (UTC),21,fb0aa01abe9d8e4037eb3473ca6e2dca
31,192.168.64.11,52.95.127.145,25,37738,443,0x0303,0x303,unagi.amazon.co.uk,14.0,False,True,4.0,,,0xc02f,,1,11.0,4,5296,2022-03-25 00:00:00 (UTC),2023-03-15 23:59:59 (UTC),21,fb0aa01abe9d8e4037eb3473ca6e2dca
32,192.168.64.11,142.250.187.234,12,37680,443,0x0303,0x303,safebrowsing.googleapis.com,14.0,False,True,4.0,,,0xc02b,,1,11.0,,,,,24,fbcc1d86f1211d29dca4858f89e44997
34,192.168.64.11,199.232.141.16,16,47024,443,0x0303,0x303,m.media-amazon.com,14.0,False,True,4.0,,,0xc02f,,1,11.0,,,,,18,fbcc1d86f1211d29dca4858f89e44997
37,192.168.64.11,52.95.118.179,10,49366,443,0x0303,0x303,aax-eu.amazon-adsystem.com,14.0,False,True,4.0,,,0xc02f,,1,11.0,4,5273,2022-06-23 00:00:00 (UTC),2023-06-22 23:59:59 (UTC),21,fb0aa01abe9d8e4037eb3473ca6e2dca
38,192.168.64.11,52.95.127.145,11,37752,443,0x0303,0x303,unagi-eu.amazon.com,14.0,False,True,4.0,,,0xc02f,,1,11.0,4,5296,2022-03-25 00:00:00 (UTC),2023-03-15 23:59:59 (UTC),21,fb0aa01abe9d8e4037eb3473ca6e2dca
47,192.168.64.11,142.250.179.226,10,39320,443,0x0303,0x303,adservice.google.co.uk,14.0,False,True,4.0,,,0xc02b,,1,11.0,3,4004,2022-06-27 08:26:24 (UTC),2022-09-19 08:26:23 (UTC),28,fb0aa01abe9d8e4037eb3473ca6e2dca
48,192.168.64.11,140.82.121.3,12,60270,443,0x0303,0x303,github.com,14.0,False,True,4.0,,,0xc02b,,1,11.0,2,2447,2022-03-15 00:00:00 (UTC),2023-03-15 23:59:59 (UTC),30,fb0aa01abe9d8e4037eb3473ca6e2dca
49,192.168.64.11,185.199.109.154,9,35608,443,0x0303,0x303,github.githubassets.com,14.0,False,True,4.0,,,0xc02f,,1,11.0,2,2972,2021-10-12 00:00:00 (UTC),2022-10-12 23:59:59 (UTC),38,fb0aa01abe9d8e4037eb3473ca6e2dca
51,192.168.64.11,185.199.109.154,10,35612,443,0x0303,0x303,github.githubassets.com,14.0,False,True,4.0,,,0xc02f,,1,11.0,2,2972,2021-10-12 00:00:00 (UTC),2022-10-12 23:59:59 (UTC),38,fb0aa01abe9d8e4037eb3473ca6e2dca
50,192.168.64.11,185.199.109.154,10,35610,443,0x0303,0x303,github.githubassets.com,14.0,False,True,4.0,,,0xc02f,,1,11.0,2,2972,2021-10-12 00:00:00 (UTC),2022-10-12 23:59:59 (UTC),38,fb0aa01abe9d8e4037eb3473ca6e2dca
53,192.168.64.11,185.199.109.154,23,35616,443,0x0303,0x303,github.githubassets.com,14.0,False,True,4.0,,,0xc02f,,1,11.0,2,2972,2021-10-12 00:00:00 (UTC),2022-10-12 23:59:59 (UTC),38,fb0aa01abe9d8e4037eb3473ca6e2dca
52,192.168.64.11,185.199.109.154,9,35614,443,0x0303,0x303,github.githubassets.com,14.0,False,True,4.0,,,0xc02f,,1,11.0,2,2972,2021-10-12 00:00:00 (UTC),2022-10-12 23:59:59 (UTC),38,fb0aa01abe9d8e4037eb3473ca6e2dca
54,192.168.64.11,185.199.109.154,9,35618,443,0x0303,0x303,github.githubassets.com,14.0,False,True,4.0,,,0xc02f,,1,11.0,2,2972,2021-10-12 00:00:00 (UTC),2022-10-12 23:59:59 (UTC),38,fb0aa01abe9d8e4037eb3473ca6e2dca
55,192.168.64.11,185.199.109.154,10,35620,443,0x0303,0x303,github.githubassets.com,14.0,False,True,4.0,,,0xc02f,,1,11.0,2,2972,2021-10-12 00:00:00 (UTC),2022-10-12 23:59:59 (UTC),38,fb0aa01abe9d8e4037eb3473ca6e2dca
56,192.168.64.11,185.199.109.154,10,35622,443,0x0303,0x303,github.githubassets.com,14.0,False,True,4.0,,,0xc02f,,1,11.0,2,2972,2021-10-12 00:00:00 (UTC),2022-10-12 23:59:59 (UTC),38,fb0aa01abe9d8e4037eb3473ca6e2dca
59,192.168.64.11,185.199.109.154,18,35628,443,0x0303,0x303,github.githubassets.com,14.0,False,True,4.0,,,0xc02f,,1,11.0,2,2972,2021-10-12 00:00:00 (UTC),2022-10-12 23:59:59 (UTC),38,fb0aa01abe9d8e4037eb3473ca6e2dca
