stream_index,source_ip,dest_ip,pkt_count,tcp_src_port,tcp_dest_port,tls_version,tls_max_client_tls_version,tls_server_name,tls_cipher_suites_length,tls_is_heartbeat_present,tls_is_record_limit_extension_present,tls_supported_group_length,tls_key_share_length,tls_selected_group,tls_handshake_ciphersuite,tls_key_share_group,tls_ec_points_format_length,tls_sig_hash_alg_length,tls_cert_length,tls_cert_size,tls_cert_begin,tls_cert_end,tls_handshake_extensions_length,tls_ja3_hash
5,192.168.64.11,77.246.159.165,11,59224,443,,,,,,,,,,,,,,,,,,,
9,192.168.64.11,54.239.28.85,7,37090,443,0x0303,0x304,amazon.com,17.0,False,True,6.0,2,,0xc02f,29,1,4.0,3,4672,2021-10-06 00:00:00 (UTC),2022-09-19 23:59:59 (UTC),21,579ccef312d18482fc42e2b822ca2430
10,192.168.64.11,216.137.46.199,40,49874,443,0x0304,0x304,www.amazon.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
11,94.140.114.216,192.168.64.11,10,9002,44532,,,,,,,,,,,,,,,,,,,
13,192.168.64.11,199.232.57.16,234,57706,443,0x0304,0x304,images-na.ssl-images-amazon.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
12,192.168.64.11,199.232.57.16,9,57704,443,0x0304,0x304,images-na.ssl-images-amazon.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
15,192.168.64.11,199.232.57.16,9,57710,443,0x0304,0x304,images-na.ssl-images-amazon.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
14,192.168.64.11,199.232.57.16,9,57708,443,0x0304,0x304,images-na.ssl-images-amazon.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
17,192.168.64.11,199.232.57.16,9,57714,443,0x0304,0x304,m.media-amazon.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
20,192.168.64.11,199.232.57.16,8,57720,443,0x0304,0x304,m.media-amazon.com,17.0,False,True,6.0,2,29,0x1301,29,1,4.0,,,,,46,579ccef312d18482fc42e2b822ca2430
