,stream_index,source_ip,dest_ip,pkt_count,tcp_src_port,tcp_dest_port,tls_version,tls_max_client_tls_version,tls_server_name,tls_cipher_suites_length,tls_is_heartbeat_present,tls_is_record_limit_extension_present,tls_supported_group_length,tls_key_share_length,tls_selected_group,tls_handshake_ciphersuite,tls_key_share_group,tls_ec_points_format_length,tls_sig_hash_alg_length,tls_cert_length,tls_cert_size,tls_cert_begin,tls_cert_end,tls_handshake_extensions_length,tls_ja3_hash,TOR
1,1,192.168.64.11,142.250.179.227,6,37078,443,0x0304,0x304,fonts.gstatic.com,16.0,False,False,4.0,2.0,29.0,0x1301,29.0,1.0,8.0,,,,,46.0,cd08e31494f9531f560d64c695473da9,0
2,2,192.168.64.11,142.250.200.46,14,35986,443,0x0304,0x304,consent.google.com,16.0,False,False,4.0,2.0,29.0,0x1301,29.0,1.0,8.0,,,,,46.0,cd08e31494f9531f560d64c695473da9,0
3,3,192.168.64.11,140.82.121.4,19,51448,443,0x0304,0x304,github.com,16.0,False,False,4.0,2.0,29.0,0x1301,29.0,1.0,8.0,,,,,46.0,cd08e31494f9531f560d64c695473da9,0
4,4,192.168.64.11,140.82.121.4,6,51450,443,0x0304,0x304,github.com,16.0,False,False,4.0,2.0,29.0,0x1301,29.0,1.0,8.0,,,,,46.0,cd08e31494f9531f560d64c695473da9,0
5,5,192.168.64.11,185.199.109.154,23,60768,443,0x0304,0x304,github.githubassets.com,16.0,False,False,4.0,2.0,29.0,0x1301,29.0,1.0,8.0,,,,,46.0,cd08e31494f9531f560d64c695473da9,0
6,8,192.168.64.11,185.199.109.154,5,60774,443,0x0304,0x304,github.githubassets.com,16.0,False,False,4.0,2.0,29.0,0x1301,29.0,1.0,8.0,,,,,46.0,cd08e31494f9531f560d64c695473da9,0
7,9,192.168.64.11,185.199.109.154,6,60776,443,0x0304,0x304,github.githubassets.com,16.0,False,False,4.0,2.0,29.0,0x1301,29.0,1.0,8.0,,,,,46.0,cd08e31494f9531f560d64c695473da9,0
8,6,192.168.64.11,185.199.109.154,6,60770,443,0x0304,0x304,github.githubassets.com,16.0,False,False,4.0,2.0,29.0,0x1301,29.0,1.0,8.0,,,,,46.0,cd08e31494f9531f560d64c695473da9,0
9,11,192.168.64.11,185.199.109.133,9,52874,443,0x0304,0x304,avatars.githubusercontent.com,16.0,False,False,4.0,2.0,29.0,0x1301,29.0,1.0,8.0,,,,,46.0,cd08e31494f9531f560d64c695473da9,0
10,7,192.168.64.11,185.199.109.154,6,60772,443,0x0304,0x304,github.githubassets.com,16.0,False,False,4.0,2.0,29.0,0x1301,29.0,1.0,8.0,,,,,46.0,cd08e31494f9531f560d64c695473da9,0
11,10,192.168.64.11,185.199.109.154,6,60778,443,0x0304,0x304,github.githubassets.com,16.0,False,False,4.0,2.0,29.0,0x1301,29.0,1.0,8.0,,,,,46.0,cd08e31494f9531f560d64c695473da9,0
12,12,192.168.64.11,185.199.109.154,17,60782,443,0x0304,0x304,github.githubassets.com,16.0,False,False,4.0,2.0,29.0,0x1301,29.0,1.0,8.0,,,,,46.0,cd08e31494f9531f560d64c695473da9,0
13,13,192.168.64.11,140.82.114.22,9,46628,443,0x0304,0x304,collector.github.com,16.0,False,False,4.0,2.0,29.0,0x1301,29.0,1.0,8.0,,,,,46.0,cd08e31494f9531f560d64c695473da9,0
14,14,192.168.64.11,140.82.121.5,15,47440,443,0x0304,0x304,api.github.com,16.0,False,False,4.0,2.0,29.0,0x1301,29.0,1.0,8.0,,,,,46.0,cd08e31494f9531f560d64c695473da9,0
15,15,192.168.64.11,142.250.200.5,6,57136,443,0x0304,0x304,gmail.com,16.0,False,False,4.0,2.0,29.0,0x1301,29.0,1.0,8.0,,,,,46.0,cd08e31494f9531f560d64c695473da9,0
16,16,192.168.64.11,142.250.200.5,15,57138,443,0x0304,0x304,gmail.com,16.0,False,False,4.0,2.0,29.0,0x1301,29.0,1.0,8.0,,,,,46.0,cd08e31494f9531f560d64c695473da9,0
17,17,192.168.64.11,172.217.16.229,25,56244,443,0x0304,0x304,mail.google.com,16.0,False,False,4.0,2.0,29.0,0x1301,29.0,1.0,8.0,,,,,46.0,cd08e31494f9531f560d64c695473da9,0
18,18,192.168.64.11,216.58.212.234,13,41262,443,0x0304,0x304,fonts.googleapis.com,16.0,False,False,4.0,2.0,29.0,0x1301,29.0,1.0,8.0,,,,,46.0,cd08e31494f9531f560d64c695473da9,0
19,19,192.168.64.11,142.250.179.232,13,47446,443,0x0304,0x304,www.googletagmanager.com,16.0,False,False,4.0,2.0,29.0,0x1301,29.0,1.0,8.0,,,,,46.0,cd08e31494f9531f560d64c695473da9,0
20,20,192.168.64.11,142.250.180.3,6,33146,443,0x0304,0x304,www.gstatic.com,16.0,False,False,4.0,2.0,29.0,0x1301,29.0,1.0,8.0,,,,,46.0,cd08e31494f9531f560d64c695473da9,0
21,22,192.168.64.11,172.217.16.238,17,40884,443,0x0304,0x304,www.google-analytics.com,16.0,False,False,4.0,2.0,29.0,0x1301,29.0,1.0,8.0,,,,,46.0,cd08e31494f9531f560d64c695473da9,0
22,23,192.168.64.11,216.239.32.36,13,53286,443,0x0304,0x304,region1.google-analytics.com,16.0,False,False,4.0,2.0,29.0,0x1301,29.0,1.0,8.0,,,,,46.0,cd08e31494f9531f560d64c695473da9,0
23,24,192.168.64.11,157.240.221.35,4,39604,443,0x0304,0x304,www.facebook.com,16.0,False,False,4.0,2.0,29.0,0x1301,29.0,1.0,8.0,,,,,46.0,cd08e31494f9531f560d64c695473da9,0
24,25,192.168.64.11,157.240.221.35,13,39606,443,0x0304,0x304,www.facebook.com,16.0,False,False,4.0,2.0,29.0,0x1301,29.0,1.0,8.0,,,,,46.0,cd08e31494f9531f560d64c695473da9,0
25,27,192.168.64.11,157.240.221.16,26,42216,443,0x0304,0x304,static.xx.fbcdn.net,16.0,False,False,4.0,2.0,29.0,0x1301,29.0,1.0,8.0,,,,,46.0,cd08e31494f9531f560d64c695473da9,0
26,30,192.168.64.11,157.240.221.16,5,42222,443,0x0304,0x304,static.xx.fbcdn.net,16.0,False,False,4.0,2.0,29.0,0x1301,29.0,1.0,8.0,,,,,46.0,cd08e31494f9531f560d64c695473da9,0
27,28,192.168.64.11,157.240.221.16,5,42218,443,0x0304,0x304,static.xx.fbcdn.net,16.0,False,False,4.0,2.0,29.0,0x1301,29.0,1.0,8.0,,,,,46.0,cd08e31494f9531f560d64c695473da9,0
28,29,192.168.64.11,157.240.221.16,4,42220,443,0x0304,0x304,static.xx.fbcdn.net,16.0,False,False,4.0,2.0,29.0,0x1301,29.0,1.0,8.0,,,,,46.0,cd08e31494f9531f560d64c695473da9,0
29,31,192.168.64.11,157.240.221.16,6,42224,443,0x0304,0x304,static.xx.fbcdn.net,16.0,False,False,4.0,2.0,29.0,0x1301,29.0,1.0,8.0,,,,,46.0,cd08e31494f9531f560d64c695473da9,0
30,26,192.168.64.11,157.240.221.16,4,42214,443,0x0304,0x304,static.xx.fbcdn.net,16.0,False,False,4.0,2.0,29.0,0x1301,29.0,1.0,8.0,,,,,46.0,cd08e31494f9531f560d64c695473da9,0
31,32,192.168.64.11,54.239.28.85,6,50546,443,0x0303,0x304,amazon.com,16.0,False,False,4.0,2.0,,0xc02f,19018.0,1.0,8.0,3.0,4672.0,2021-10-06 00:00:00 (UTC),2022-09-19 23:59:59 (UTC),21.0,cd08e31494f9531f560d64c695473da9,0
32,33,192.168.64.11,54.239.28.85,8,50548,443,0x0303,0x304,amazon.com,16.0,False,False,4.0,2.0,,0xc02f,19018.0,1.0,8.0,3.0,4672.0,2021-10-06 00:00:00 (UTC),2022-09-19 23:59:59 (UTC),21.0,cd08e31494f9531f560d64c695473da9,0
33,34,192.168.64.11,216.137.46.199,73,38194,443,0x0304,0x304,www.amazon.com,16.0,False,False,4.0,2.0,29.0,0x1301,29.0,1.0,8.0,,,,,46.0,cd08e31494f9531f560d64c695473da9,0
34,35,192.168.64.11,108.138.235.217,50,59856,443,0x0304,0x304,images-na.ssl-images-amazon.com,16.0,False,False,4.0,2.0,29.0,0x1301,29.0,1.0,8.0,,,,,46.0,cd08e31494f9531f560d64c695473da9,0
35,37,192.168.64.11,108.138.235.217,6,59860,443,0x0304,0x304,images-na.ssl-images-amazon.com,16.0,False,False,4.0,2.0,29.0,0x1301,29.0,1.0,8.0,,,,,46.0,cd08e31494f9531f560d64c695473da9,0
36,36,192.168.64.11,108.138.235.217,6,59858,443,0x0304,0x304,images-na.ssl-images-amazon.com,16.0,False,False,4.0,2.0,29.0,0x1301,29.0,1.0,8.0,,,,,46.0,cd08e31494f9531f560d64c695473da9,0
37,38,192.168.64.11,54.192.226.66,7,40760,443,0x0304,0x304,m.media-amazon.com,16.0,False,False,4.0,2.0,29.0,0x1301,29.0,1.0,8.0,,,,,46.0,cd08e31494f9531f560d64c695473da9,0
38,44,192.168.64.11,54.192.226.66,57,40772,443,0x0304,0x304,m.media-amazon.com,16.0,False,False,4.0,2.0,29.0,0x1301,29.0,1.0,8.0,,,,,46.0,cd08e31494f9531f560d64c695473da9,0
39,43,192.168.64.11,54.192.226.66,6,40770,443,0x0304,0x304,m.media-amazon.com,16.0,False,False,4.0,2.0,29.0,0x1301,29.0,1.0,8.0,,,,,46.0,cd08e31494f9531f560d64c695473da9,0
40,40,192.168.64.11,54.192.226.66,7,40764,443,0x0304,0x304,m.media-amazon.com,16.0,False,False,4.0,2.0,29.0,0x1301,29.0,1.0,8.0,,,,,46.0,cd08e31494f9531f560d64c695473da9,0
41,41,192.168.64.11,108.138.235.217,33,59868,443,0x0304,0x304,images-na.ssl-images-amazon.com,16.0,False,False,4.0,2.0,29.0,0x1301,29.0,1.0,8.0,,,,,46.0,cd08e31494f9531f560d64c695473da9,0
42,42,192.168.64.11,54.192.226.66,4,40768,443,0x0304,0x304,m.media-amazon.com,16.0,False,False,4.0,2.0,29.0,0x1301,29.0,1.0,8.0,,,,,46.0,cd08e31494f9531f560d64c695473da9,0
43,39,192.168.64.11,54.192.226.66,4,40762,443,0x0304,0x304,m.media-amazon.com,16.0,False,False,4.0,2.0,29.0,0x1301,29.0,1.0,8.0,,,,,46.0,cd08e31494f9531f560d64c695473da9,0
44,46,192.168.64.11,54.192.226.66,34,40776,443,0x0304,0x304,m.media-amazon.com,16.0,False,False,4.0,2.0,29.0,0x1301,29.0,1.0,8.0,,,,,46.0,cd08e31494f9531f560d64c695473da9,0
45,45,192.168.64.11,52.55.181.3,65,56916,443,0x0303,0x304,fls-na.amazon.com,16.0,False,False,4.0,2.0,,0xc02f,2570.0,1.0,8.0,4.0,4995.0,2022-04-16 00:00:00 (UTC),2023-04-06 23:59:59 (UTC),26.0,cd08e31494f9531f560d64c695473da9,0
46,47,192.168.64.11,52.46.145.203,6,49006,443,0x0303,0x304,completion.amazon.com,16.0,False,False,4.0,2.0,,0xc02f,31354.0,1.0,8.0,4.0,5015.0,2022-03-15 00:00:00 (UTC),2023-02-18 23:59:59 (UTC),21.0,cd08e31494f9531f560d64c695473da9,0
47,48,192.168.64.11,209.54.183.75,9,33830,443,0x0303,0x304,aax-us-iad.amazon.com,16.0,False,False,4.0,2.0,,0xc02f,10794.0,1.0,8.0,4.0,5025.0,2021-11-08 00:00:00 (UTC),2022-11-07 23:59:59 (UTC),21.0,cd08e31494f9531f560d64c695473da9,0
48,50,192.168.64.11,209.54.183.75,9,33834,443,0x0303,0x304,aax-us-iad.amazon.com,16.0,False,False,4.0,2.0,,0xc02f,19018.0,1.0,8.0,4.0,5025.0,2021-11-08 00:00:00 (UTC),2022-11-07 23:59:59 (UTC),21.0,cd08e31494f9531f560d64c695473da9,0
49,49,192.168.64.11,209.54.183.75,12,33832,443,0x0303,0x304,aax-us-iad.amazon.com,16.0,False,False,4.0,2.0,,0xc02f,23130.0,1.0,8.0,4.0,5025.0,2021-11-08 00:00:00 (UTC),2022-11-07 23:59:59 (UTC),21.0,cd08e31494f9531f560d64c695473da9,0
50,51,192.168.64.11,52.94.243.89,7,55732,443,0x0303,0x304,assoc-na.associates-amazon.com,16.0,False,False,4.0,2.0,,0xc02f,14906.0,1.0,8.0,4.0,4988.0,2022-06-18 00:00:00 (UTC),2023-06-17 23:59:59 (UTC),21.0,cd08e31494f9531f560d64c695473da9,0
51,52,192.168.64.11,54.239.17.248,8,42554,443,0x0303,0x304,aax-us-east-retail-direct.amazon.com,16.0,False,False,4.0,2.0,,0xc02f,35466.0,1.0,8.0,4.0,5025.0,2021-11-08 00:00:00 (UTC),2022-11-07 23:59:59 (UTC),21.0,cd08e31494f9531f560d64c695473da9,0
52,54,192.168.64.11,18.165.201.17,16,47662,443,0x0304,0x304,player.live-video.net,16.0,False,False,4.0,2.0,29.0,0x1301,29.0,1.0,8.0,,,,,46.0,cd08e31494f9531f560d64c695473da9,0
53,56,192.168.64.11,18.165.196.141,17,49238,443,0x0304,0x304,d23tl967axkois.cloudfront.net,16.0,False,False,4.0,2.0,29.0,0x1301,29.0,1.0,8.0,,,,,46.0,cd08e31494f9531f560d64c695473da9,0
54,53,192.168.64.11,52.46.143.155,14,38698,443,0x0303,0x304,unagi-na.amazon.com,16.0,False,False,4.0,2.0,,0xc02f,27242.0,1.0,8.0,4.0,5139.0,2022-03-10 00:00:00 (UTC),2023-03-02 23:59:59 (UTC),21.0,cd08e31494f9531f560d64c695473da9,0
55,57,192.168.64.11,18.164.66.37,12,35192,443,0x0304,0x304,d2in0p32vp1pij.cloudfront.net,16.0,False,False,4.0,2.0,29.0,0x1301,29.0,1.0,8.0,,,,,46.0,cd08e31494f9531f560d64c695473da9,0
56,55,192.168.64.11,52.46.143.155,19,38702,443,0x0303,0x304,unagi-na.amazon.com,16.0,False,False,4.0,2.0,,0xc02f,19018.0,1.0,8.0,4.0,5139.0,2022-03-10 00:00:00 (UTC),2023-03-02 23:59:59 (UTC),21.0,cd08e31494f9531f560d64c695473da9,0
57,59,192.168.64.11,18.165.201.17,10,47672,443,0x0304,0x304,player.live-video.net,16.0,False,False,4.0,2.0,29.0,0x1301,29.0,1.0,8.0,,,,,46.0,cd08e31494f9531f560d64c695473da9,0
