stream_index,source_ip,dest_ip,pkt_count,tcp_src_port,tcp_dest_port,tls_version,tls_max_client_tls_version,tls_server_name,tls_cipher_suites_length,tls_is_heartbeat_present,tls_is_record_limit_extension_present,tls_supported_group_length,tls_key_share_length,tls_selected_group,tls_handshake_ciphersuite,tls_key_share_group,tls_ec_points_format_length,tls_sig_hash_alg_length,tls_cert_length,tls_cert_size,tls_cert_begin,tls_cert_end,tls_handshake_extensions_length,tls_ja3_hash,TOR
0,192.168.64.11,94.140.114.216,3,39094,9002,,,,,,,,,,,,,,,,,,,,
1,77.246.159.165,192.168.64.11,4,443,46648,,,,,,,,,,,,,,,,,,,,
2,192.168.64.11,45.142.176.96,39,53950,9000,0x0303,0x303,www.uvdo4.com,14,TRUE,FALSE,13,,,0xc030,,3,15,1,582,2022-06-16 00:00:00 (UTC),2022-11-11 00:00:00 (UTC),13,83d60721ecc423892660e275acc4dffd,1
3,192.168.64.11,172.241.227.151,25,41448,443,0x0303,0x303,www.if4zrcvz65ebumfjio.com,14,TRUE,FALSE,13,,,0xc030,,3,15,1,576,2022-06-12 00:00:00 (UTC),2022-11-15 23:59:59 (UTC),13,83d60721ecc423892660e275acc4dffd,1
4,192.168.64.11,195.90.201.93,25,40130,9100,0x0303,0x303,www.4dgflfe.com,14,TRUE,FALSE,13,,,0xc030,,3,15,1,579,2022-07-02 00:00:00 (UTC),2022-07-08 00:00:00 (UTC),13,83d60721ecc423892660e275acc4dffd,1
5,192.168.64.11,172.241.227.151,13,41378,443,0x0303,0x303,www.qqod5zpsq7ksv.com,14,TRUE,FALSE,13,,,0xc030,,3,15,1,576,2022-06-12 00:00:00 (UTC),2022-11-15 23:59:59 (UTC),13,83d60721ecc423892660e275acc4dffd,1
6,192.168.64.11,45.142.176.96,31,53894,9000,0x0303,0x303,www.o6ohdn2n7qqzkxst5g.com,14,TRUE,FALSE,13,,,0xc030,,3,15,1,582,2022-06-16 00:00:00 (UTC),2022-11-11 00:00:00 (UTC),13,83d60721ecc423892660e275acc4dffd,1
7,192.168.64.11,172.241.227.151,13,41390,443,0x0303,0x303,www.vunlpqnz6y.com,14,TRUE,FALSE,13,,,0xc030,,3,15,1,576,2022-06-12 00:00:00 (UTC),2022-11-15 23:59:59 (UTC),13,83d60721ecc423892660e275acc4dffd,1
8,192.168.64.11,195.90.201.93,44,40258,9100,0x0303,0x303,www.v3sczul4rjs76oecgevi.com,14,TRUE,FALSE,13,,,0xc030,,3,15,1,579,2022-07-02 00:00:00 (UTC),2022-07-08 00:00:00 (UTC),13,83d60721ecc423892660e275acc4dffd,1
9,192.168.64.11,45.142.176.96,19,54018,9000,0x0303,0x303,www.mdmrplzuflp4ghnknnucjg.com,14,TRUE,FALSE,13,,,0xc030,,3,15,1,582,2022-06-16 00:00:00 (UTC),2022-11-11 00:00:00 (UTC),13,83d60721ecc423892660e275acc4dffd,1
10,192.168.64.11,172.241.227.151,21,41488,443,0x0303,0x303,www.gq3gq5n5nl.com,14,TRUE,FALSE,13,,,0xc030,,3,15,1,576,2022-06-12 00:00:00 (UTC),2022-11-15 23:59:59 (UTC),13,83d60721ecc423892660e275acc4dffd,1
11,192.168.64.11,195.90.201.93,25,40244,9100,0x0303,0x303,www.tes5g23jo37bh.com,14,TRUE,FALSE,13,,,0xc030,,3,15,1,579,2022-07-02 00:00:00 (UTC),2022-07-08 00:00:00 (UTC),13,83d60721ecc423892660e275acc4dffd,1
12,192.168.64.11,45.142.176.96,13,54006,9000,0x0303,0x303,www.c3kj.com,14,TRUE,FALSE,13,,,0xc030,,3,15,1,582,2022-06-16 00:00:00 (UTC),2022-11-11 00:00:00 (UTC),13,83d60721ecc423892660e275acc4dffd,1
13,192.168.64.11,81.179.123.62,37,37772,9001,0x0303,0x303,www.d5arkqeylwjqtnfsywbyi5.com,14,TRUE,FALSE,13,,,0xc030,,3,15,1,586,2022-01-25 00:00:00 (UTC),2023-01-15 23:59:59 (UTC),13,83d60721ecc423892660e275acc4dffd,1
14,192.168.64.11,104.217.250.206,18,56672,443,0x0303,0x303,www.7oq6sfhxsftxcbw3ziniy.com,14,TRUE,FALSE,13,,,0xc030,,3,15,1,585,2021-10-02 00:00:00 (UTC),2022-09-23 23:59:59 (UTC),13,83d60721ecc423892660e275acc4dffd,1
15,192.168.64.11,185.239.222.248,13,41596,443,0x0303,0x303,www.ufvmyh7t6h6ycikwe.com,14,TRUE,FALSE,13,,,0xc030,,3,15,1,592,2022-02-08 00:00:00 (UTC),2022-08-15 00:00:00 (UTC),13,83d60721ecc423892660e275acc4dffd,1
16,192.168.64.11,45.142.176.96,30,53964,9000,0x0303,0x303,www.kqpdeznbrn4j.com,14,TRUE,FALSE,13,,,0xc030,,3,15,1,582,2022-06-16 00:00:00 (UTC),2022-11-11 00:00:00 (UTC),13,83d60721ecc423892660e275acc4dffd,1
17,192.168.64.11,172.241.227.151,14,41458,443,0x0303,0x303,www.6sufksq6tqc2.com,14,TRUE,FALSE,13,,,0xc030,,3,15,1,576,2022-06-12 00:00:00 (UTC),2022-11-15 23:59:59 (UTC),13,83d60721ecc423892660e275acc4dffd,1
