stream_index,source_ip,dest_ip,pkt_count,tcp_src_port,tcp_dest_port,tls_version,tls_max_client_tls_version,tls_server_name,tls_cipher_suites_length,tls_is_heartbeat_present,tls_is_record_limit_extension_present,tls_supported_group_length,tls_key_share_length,tls_selected_group,tls_handshake_ciphersuite,tls_key_share_group,tls_ec_points_format_length,tls_sig_hash_alg_length,tls_cert_length,tls_cert_size,tls_cert_begin,tls_cert_end,tls_handshake_extensions_length,tls_ja3_hash,label
0,192.168.64.11,82.65.58.162,132,36456,9001,0x0304,0x304,www.kmzdeeb5gg.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
1,192.168.64.11,192.99.152.50,27,56816,9001,0x0304,0x304,www.avhwm27.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
4,192.168.64.11,82.65.58.162,75,36842,9001,0x0304,0x304,www.fqoou5i6l7sfm36pn5nnd.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
5,192.168.64.11,192.99.152.50,21,57210,9001,0x0304,0x304,www.x67a5eii4rd5h43din.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
7,192.168.64.11,192.99.152.50,83,47536,9001,0x0304,0x304,www.zq7ize3gzdhajbqjfv6dy.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
8,192.168.64.11,82.65.58.162,28,55438,9001,0x0304,0x304,www.wbndc5.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
10,192.168.64.11,192.99.152.50,24,58174,9001,0x0304,0x304,www.whd3d2par3w.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
11,192.168.64.11,82.65.58.162,133,37822,9001,0x0304,0x304,www.ouaqw5y7v.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
12,192.168.64.11,82.65.58.162,79,37362,9001,0x0304,0x304,www.srprg7dhsyrh2l.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
13,192.168.64.11,192.99.152.50,21,57732,9001,0x0304,0x304,www.h6air5e.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
14,192.168.64.11,192.99.152.50,113,57462,9001,0x0304,0x304,www.gjiwx2ex37nk.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
15,192.168.64.11,82.65.58.162,33,37106,9001,0x0304,0x304,www.vrwvbvt6irtpfd.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
16,192.168.64.11,192.99.152.50,19,58362,9001,0x0304,0x304,www.zacdak3.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
17,192.168.64.11,82.65.58.162,102,38010,9001,0x0304,0x304,www.yx4csdfeh3shbo4.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
18,192.168.64.11,82.65.58.162,115,55572,9001,0x0304,0x304,www.beku3fze6qb.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
19,192.168.64.11,192.99.152.50,35,47680,9001,0x0304,0x304,www.5re5fgglnj25p6liim.com,18,FALSE,FALSE,2,1,23,0x1302,23,3,23,,,,,79,140e0f0cad708278ade0984528fe8493,TOR
