source_ip,dest_ip,pkt_count,tcp_src_port,tcp_dest_port,tls_handshake_ciphersuite,tls_handshake_extensions_length,tls_server_name,tls_ja3_hash,tls_cipher_suite_length,tls_cert_length,tls_issuer,tls_algorithm_id,tls_handshake_server_curve_type,tls_handshake_server_named_curve,tls_handshake_echde_server_pubkey_len,tls_handshake_echde_client_pubkey_len
192.168.64.11,23.250.14.98,2,44690,443,0xc030,13,www.bkpqzakgnii2.com,83d60721ecc423892660e275acc4dffd,28,588,www.gebjf35sofpg7574j6.com,1.2.840.113549.1.1.11,0x03,0x0017,65,65
77.246.159.165,192.168.64.11,25,443,55176,0xc030,13,www.4aqwx4z3mek5p6pxewztq.com,83d60721ecc423892660e275acc4dffd,28,570,www.2irc7rvp.com,1.2.840.113549.1.1.11,0x03,0x0017,65,65
192.168.64.11,85.195.208.19,83,53842,9001,0xc030,13,www.bkpqzakgnii2.com,83d60721ecc423892660e275acc4dffd,28,588,www.gebjf35sofpg7574j6.com,1.2.840.113549.1.1.11,0x03,0x0017,65,65
192.168.64.11,158.69.207.216,25,48146,9001,0xc030,13,www.nunwic.com,83d60721ecc423892660e275acc4dffd,28,576,www.p7a73jny75.com,1.2.840.113549.1.1.11,0x03,0x0017,65,65
192.168.64.11,212.51.134.123,2,40664,9001,0xc030,13,www.nunwic.com,83d60721ecc423892660e275acc4dffd,28,576,www.p7a73jny75.com,1.2.840.113549.1.1.11,0x03,0x0017,65,65
94.140.114.216,192.168.64.11,4,9002,48668,0xc030,13,www.nunwic.com,83d60721ecc423892660e275acc4dffd,28,576,www.p7a73jny75.com,1.2.840.113549.1.1.11,0x03,0x0017,65,65
192.168.64.11,185.220.101.30,3,35278,20030,0xc030,13,www.nunwic.com,83d60721ecc423892660e275acc4dffd,28,576,www.p7a73jny75.com,1.2.840.113549.1.1.11,0x03,0x0017,65,65
192.168.64.11,51.15.78.0,662,52844,9001,0xc030,13,www.xgk5sujr7dek26nu.com,83d60721ecc423892660e275acc4dffd,28,591,www.hxzbrlvxobluss7zobuq.com,1.2.840.113549.1.1.11,0x03,0x0017,65,65
192.168.64.11,85.195.208.19,75,53588,9001,0xc030,13,www.jfodxu23mz7k6.com,83d60721ecc423892660e275acc4dffd,28,588,www.gebjf35sofpg7574j6.com,1.2.840.113549.1.1.11,0x03,0x0017,65,65
192.168.64.11,158.69.207.216,44,47894,9001,0xc030,13,www.2jf3om.com,83d60721ecc423892660e275acc4dffd,28,576,www.p7a73jny75.com,1.2.840.113549.1.1.11,0x03,0x0017,65,65
192.168.64.11,23.250.14.98,60,44450,443,0xc030,13,www.cxsjstdz4jslb5qedocf.com,83d60721ecc423892660e275acc4dffd,28,570,www.2irc7rvp.com,1.2.840.113549.1.1.11,0x03,0x0017,65,65
192.168.64.11,158.69.207.216,24,48168,9001,0xc030,13,www.oa2q7nyumj3ej6v.com,83d60721ecc423892660e275acc4dffd,28,576,www.p7a73jny75.com,1.2.840.113549.1.1.11,0x03,0x0017,65,65
192.168.64.11,85.195.208.19,21,53874,9001,0xc030,13,www.lsaa6njbvecq7iop.com,83d60721ecc423892660e275acc4dffd,28,588,www.gebjf35sofpg7574j6.com,1.2.840.113549.1.1.11,0x03,0x0017,65,65
192.168.64.11,23.250.14.98,101,44726,443,0xc030,13,www.swup5gtq7geeq.com,83d60721ecc423892660e275acc4dffd,28,570,www.2irc7rvp.com,1.2.840.113549.1.1.11,0x03,0x0017,65,65
