source_ip,dest_ip,pkt_count,tcp_src_port,tcp_dest_port,tls_cert_length,tls_issuer,tls_algorithm_id,tls_handshake_ciphersuite,tls_handshake_extensions_length,tls_handshake_server_curve_type,tls_handshake_server_named_curve,tls_handshake_echde_server_pubkey_len,tls_handshake_echde_client_pubkey_len,tls_server_name,tls_ja3_hash,tls_cipher_suite_length
192.168.64.11,34.120.115.102,3,52744,443,,,,,,,,,,,,
94.140.114.216,192.168.64.11,2,9002,45818,,,,,,,,,,,,
77.246.159.165,192.168.64.11,2,443,38304,,,,,,,,,,,,
192.168.64.11,54.154.107.215,9,39490,443,,,,0x1301,401,,,,,consent.yahoo.com,579ccef312d18482fc42e2b822ca2430,34
192.168.64.11,142.250.180.14,5,47176,443,,,,0x1301,401,,,,,consent.yahoo.com,579ccef312d18482fc42e2b822ca2430,34
192.168.64.11,34.120.237.76,3,51230,443,,,,0x1301,401,,,,,consent.yahoo.com,579ccef312d18482fc42e2b822ca2430,34
192.168.64.11,157.240.221.16,3,59128,443,,,,0x1301,401,,,,,consent.yahoo.com,579ccef312d18482fc42e2b822ca2430,34
192.168.64.11,142.250.217.99,3,46450,443,,,,0x1301,401,,,,,consent.yahoo.com,579ccef312d18482fc42e2b822ca2430,34
192.168.64.11,140.82.121.4,4,50018,443,,,,0x1301,401,,,,,consent.yahoo.com,579ccef312d18482fc42e2b822ca2430,34
192.168.64.11,185.199.108.154,8,32914,443,,,,0x1301,401,,,,,consent.yahoo.com,579ccef312d18482fc42e2b822ca2430,34
192.168.64.11,185.199.108.154,4,32924,443,,,,0x1301,401,,,,,consent.yahoo.com,579ccef312d18482fc42e2b822ca2430,34
192.168.64.11,185.199.108.133,123,49904,443,,,,0x1301,401,,,,,consent.yahoo.com,579ccef312d18482fc42e2b822ca2430,34
192.168.64.11,140.82.114.22,5,51702,443,,,,0x1301,401,,,,,consent.yahoo.com,579ccef312d18482fc42e2b822ca2430,34
192.168.64.11,140.82.121.5,13,40502,443,,,,0x1301,401,,,,,consent.yahoo.com,579ccef312d18482fc42e2b822ca2430,34
192.168.64.11,142.250.200.5,13,52600,443,,,,0x1301,46,,,,,gmail.com,579ccef312d18482fc42e2b822ca2430,34
192.168.64.11,142.250.179.229,21,38208,443,,,,0x1301,46,,,,,mail.google.com,579ccef312d18482fc42e2b822ca2430,34
192.168.64.11,142.250.179.227,16,35006,443,,,,0x1301,46,,,,,mail.google.com,579ccef312d18482fc42e2b822ca2430,34
192.168.64.11,142.250.180.3,4,39784,443,,,,0x1301,46,,,,,mail.google.com,579ccef312d18482fc42e2b822ca2430,34
192.168.64.11,142.250.187.228,4,40312,443,,,,0x1301,46,,,,,mail.google.com,579ccef312d18482fc42e2b822ca2430,34
192.168.64.11,142.250.217.99,10,46460,443,,,,0x1301,52,,,,,id.google.com,02aa4679df284f240695da144b70c288,34
192.168.64.11,142.250.187.234,16,37820,443,,,,0x1301,52,,,,,safebrowsing.googleapis.com,02aa4679df284f240695da144b70c288,34
192.168.64.11,98.137.11.163,2,38880,443,,,,0x1301,52,,,,,safebrowsing.googleapis.com,02aa4679df284f240695da144b70c288,34
192.168.64.11,87.248.100.216,4,50336,443,,,,0x1301,52,,,,,safebrowsing.googleapis.com,02aa4679df284f240695da144b70c288,34
192.168.64.11,87.248.114.12,4,49762,443,,,,0x1301,52,,,,,safebrowsing.googleapis.com,02aa4679df284f240695da144b70c288,34
192.168.64.11,13.69.68.34,4,49864,443,,,,0x1301,52,,,,,safebrowsing.googleapis.com,02aa4679df284f240695da144b70c288,34
192.168.64.11,13.69.68.34,2,49858,443,,,,0x1301,52,,,,,safebrowsing.googleapis.com,02aa4679df284f240695da144b70c288,34
192.168.64.11,13.69.68.34,11,49862,443,,,,0x1301,52,,,,,safebrowsing.googleapis.com,02aa4679df284f240695da144b70c288,34
192.168.64.11,13.69.68.34,2,50012,443,,,,0x1301,401,,,,,code.visualstudio.com,579ccef312d18482fc42e2b822ca2430,34
192.168.64.11,13.69.68.34,2,50014,443,,,,0x1301,401,,,,,code.visualstudio.com,579ccef312d18482fc42e2b822ca2430,34
192.168.64.11,13.69.68.34,60,50016,443,,,,0x1301,401,,,,,code.visualstudio.com,579ccef312d18482fc42e2b822ca2430,34
192.168.64.11,2.18.85.172,11,38450,443,,,,0x1302,52,,,,,www.microsoft.com,c279b0189edb9269da7bc43dea5e0c36,34
192.168.64.11,96.16.81.178,17,37154,443,,,,0x1302,52,,,,,c.s-microsoft.com,c279b0189edb9269da7bc43dea5e0c36,34
192.168.64.11,63.34.179.114,9,54860,443,1746,*.tt.omtrdc.net,1.2.840.113549.1.1.11,0xc02f,26,,,,65,mboxedge37.tt.omtrdc.net,579ccef312d18482fc42e2b822ca2430,34
192.168.64.11,140.82.121.5,13,40610,443,1746,*.tt.omtrdc.net,1.2.840.113549.1.1.11,0xc02f,26,,,,65,mboxedge37.tt.omtrdc.net,579ccef312d18482fc42e2b822ca2430,34
192.168.64.11,13.107.42.18,35,48926,443,1746,*.tt.omtrdc.net,1.2.840.113549.1.1.11,0xc02f,26,,,,65,mboxedge37.tt.omtrdc.net,579ccef312d18482fc42e2b822ca2430,34
192.168.64.11,104.86.111.163,13,54414,443,1746,*.tt.omtrdc.net,1.2.840.113549.1.1.11,0xc02f,26,,,,65,mboxedge37.tt.omtrdc.net,579ccef312d18482fc42e2b822ca2430,34
192.168.64.11,23.73.138.219,2,37972,443,1746,*.tt.omtrdc.net,1.2.840.113549.1.1.11,0x1301,514,,,,65,img-prod-cms-rt-microsoft-com.akamaized.net,e669667efb41c36f714c309243f41ca7,34
192.168.64.11,68.232.34.200,6,59516,443,1746,*.tt.omtrdc.net,1.2.840.113549.1.1.11,0xc02b,14,,,,65,img-prod-cms-rt-microsoft-com.akamaized.net,e669667efb41c36f714c309243f41ca7,34
192.168.64.11,68.232.34.200,15,59518,443,1746,*.tt.omtrdc.net,1.2.840.113549.1.1.11,0xc02b,14,,,,65,img-prod-cms-rt-microsoft-com.akamaized.net,e669667efb41c36f714c309243f41ca7,34
192.168.64.11,68.232.34.200,3,59632,443,1746,*.tt.omtrdc.net,1.2.840.113549.1.1.11,0x1301,401,,,,65,ritwickdey.gallerycdn.vsassets.io,579ccef312d18482fc42e2b822ca2430,34
192.168.64.11,68.232.34.200,18,59634,443,1746,*.tt.omtrdc.net,1.2.840.113549.1.1.11,0x1301,401,,,,65,esbenp.gallerycdn.vsassets.io,579ccef312d18482fc42e2b822ca2430,34
192.168.64.11,20.189.173.13,3,57416,443,1746,*.tt.omtrdc.net,1.2.840.113549.1.1.11,0x1301,401,,,,65,esbenp.gallerycdn.vsassets.io,579ccef312d18482fc42e2b822ca2430,34
192.168.64.11,20.189.173.13,5,57432,443,1746,*.tt.omtrdc.net,1.2.840.113549.1.1.11,0x1301,401,,,,65,esbenp.gallerycdn.vsassets.io,579ccef312d18482fc42e2b822ca2430,34
192.168.64.11,152.199.19.160,193,57184,443,1746,*.tt.omtrdc.net,1.2.840.113549.1.1.11,0x1301,401,,,,65,esbenp.gallerycdn.vsassets.io,579ccef312d18482fc42e2b822ca2430,34
192.168.64.11,20.189.173.13,5,57558,443,1746,*.tt.omtrdc.net,1.2.840.113549.1.1.11,0x1301,401,,,,65,browser.events.data.microsoft.com,579ccef312d18482fc42e2b822ca2430,34
192.168.64.11,20.189.173.13,14416,57560,443,1746,*.tt.omtrdc.net,1.2.840.113549.1.1.11,0x1301,401,,,,65,browser.events.data.microsoft.com,579ccef312d18482fc42e2b822ca2430,34
